x	y
2.116	0.245
2.144	0.235
2.172	0.284
2.201	0.287
2.229	0.276
2.257	0.276
2.285	0.265
2.314	0.269
2.342	0.293
2.370	0.306
2.398	0.313
2.427	0.324
2.455	0.324
2.483	0.336
2.511	0.347
2.540	0.347
2.568	0.347
2.596	0.347
2.624	0.347
2.653	0.347
2.681	0.347
2.709	0.348
2.737	0.360
2.766	0.371
2.794	0.371
2.822	0.371
2.850	0.372
2.879	0.383
2.907	0.394
2.935	0.394
2.963	0.395
2.992	0.407
3.020	0.418
3.048	0.419
3.076	0.430
3.105	0.430
3.359	0.549
3.387	0.549
3.415	0.561
3.444	0.572
3.472	0.584
3.500	0.596
3.528	0.608
3.557	0.620
3.585	0.631
3.613	0.644
3.641	0.667
3.670	0.678
3.698	0.679
3.726	0.690
3.754	0.702
3.783	0.714
3.811	0.726
3.839	0.738
3.867	0.762
3.896	0.786
3.924	0.809
3.952	0.833
3.980	0.856
4.009	0.925
4.037	0.891
4.065	0.904
4.094	0.927
4.122	0.951
4.150	0.975
4.178	0.998
4.207	1.021
4.235	1.033
4.263	1.045
4.291	1.068
4.320	1.080
4.348	1.091
4.602	1.257
4.630	1.269
4.659	1.282
4.687	1.308
4.715	1.330
4.743	1.343
4.772	1.355
4.800	1.378
4.828	1.402
4.856	1.425
4.885	1.449
4.913	1.472
4.941	1.496
4.969	1.519
4.998	1.543
5.026	1.566
5.054	1.602
5.082	1.625
5.111	1.649
5.139	1.683
5.167	1.695
5.195	1.707
5.224	1.719
5.252	1.731
5.280	1.754
5.308	1.766
5.337	1.778
5.365	1.801
5.393	1.813
5.421	1.825
5.450	1.848
5.478	1.860
5.506	1.872
5.534	1.883
5.563	1.883
5.591	1.972
5.619	1.972
5.647	1.972
5.676	1.972
5.704	1.972
5.732	1.972
5.760	1.972
5.789	2.142
5.817	2.155
5.845	2.178
5.873	2.202
5.902	2.225
5.930	2.249
5.958	2.284
5.986	2.308
6.015	2.387
6.043	2.367
6.071	2.390
6.099	2.414
6.128	2.439
6.156	2.462
6.184	2.498
6.212	2.521
6.241	2.545
6.269	2.580
6.297	2.616
6.325	2.640
6.354	2.664
6.382	2.710
6.410	2.734
6.438	2.758
6.467	2.805
6.495	2.829
6.523	2.852
6.551	2.887
6.580	2.910
6.608	2.909
6.721	2.956
6.749	2.956
6.777	3.176
6.806	3.196
6.834	3.208
6.862	3.244
6.890	3.279
6.919	3.303
6.947	3.350
6.975	3.373
7.003	3.397
7.032	3.444
7.060	3.468
7.088	3.503
7.116	3.538
7.145	3.562
7.173	3.609
7.201	3.632
7.229	3.668
7.258	3.703
7.286	3.739
7.314	3.774
7.342	3.809
7.371	3.844
7.399	3.880
7.427	3.913
7.456	3.926
7.484	3.948
7.512	3.956
7.540	3.956
7.569	3.956
7.597	3.956
7.625	4.220
7.653	4.221
7.682	4.256
7.710	4.302
7.738	4.327
7.766	4.373
7.795	4.420
7.823	4.456
7.851	4.492
7.879	4.538
7.908	4.585
7.936	4.621
7.964	4.657
7.992	4.705
8.021	4.801
8.049	4.777
8.077	4.812
8.105	4.847
8.134	4.883
8.162	4.919
8.190	4.955
8.218	4.967
8.247	4.985
8.275	4.963
8.303	4.963
8.331	4.963
8.360	4.963
8.388	5.252
8.416	5.262
8.444	5.275
8.473	5.321
8.501	5.368
8.529	5.404
8.557	5.439
8.586	5.486
8.614	5.533
8.642	5.569
8.670	5.605
8.699	5.651
8.727	5.698
8.755	5.734
8.783	5.770
8.812	5.817
8.840	5.864
8.868	5.899
8.896	5.946
8.925	5.981
8.953	6.004
8.981	5.963
9.009	5.963
9.038	5.963
9.066	6.288
9.094	6.311
9.122	6.348
9.151	6.418
9.179	6.466
9.207	6.536
9.235	6.595
9.264	6.654
9.292	6.713
9.320	6.761
9.348	6.819
9.377	6.866
9.405	6.903
9.433	6.951
9.461	6.997
9.490	7.011
9.518	7.034
9.546	7.071
9.574	7.171
9.603	7.271
9.631	7.306
9.659	7.317
9.687	7.352
9.716	7.399
9.744	7.446
9.772	7.494
9.800	7.564
9.829	7.612
9.857	7.659
9.885	7.729
9.913	7.777
9.942	7.824
9.970	7.884
9.998	7.922
10.026	7.978
10.055	7.913
10.083	7.946
10.111	7.971
10.139	7.971
10.168	7.971
10.196	7.971
10.224	8.328
10.252	8.343
10.281	8.378
10.309	8.414
10.337	8.461
10.365	8.520
10.394	8.567
10.422	8.626
10.450	8.673
10.478	8.721
10.507	8.779
10.535	8.827
10.563	8.875
10.591	8.910
10.620	8.946
10.648	8.992
10.676	9.016
10.704	9.052
10.733	9.087
10.761	9.098
