x	y
5.004	0.225
5.032	0.235
5.060	0.235
5.089	0.249
5.117	0.259
5.145	0.259
5.173	0.273
5.202	0.282
5.230	0.282
5.258	0.282
5.286	0.297
5.315	0.306
5.343	0.306
5.371	0.320
5.399	0.329
5.428	0.344
5.456	0.353
5.484	0.353
5.512	0.368
5.541	0.377
5.569	0.377
5.597	0.391
5.625	0.400
5.654	0.392
5.682	0.390
6.247	0.485
6.275	0.492
6.303	0.495
6.332	0.495
6.360	0.494
6.388	0.491
6.416	0.506
6.445	0.518
6.473	0.518
6.501	0.530
6.529	0.542
6.558	0.542
6.586	0.553
6.614	0.565
6.642	0.566
6.671	0.577
6.699	0.589
6.727	0.589
6.755	0.601
6.784	0.612
6.812	0.624
6.840	0.636
6.868	0.648
6.897	0.655
7.490	0.875
7.518	0.873
7.546	0.873
7.575	0.880
7.603	0.895
7.631	0.896
7.659	0.896
7.688	0.904
7.716	0.919
7.744	0.920
7.772	0.927
7.801	0.942
7.829	0.943
7.857	0.951
7.885	0.966
7.914	0.967
7.942	0.974
7.970	0.989
7.998	0.991
8.027	0.998
8.055	1.013
8.083	1.014
8.111	1.022
8.140	1.040
8.705	1.335
8.733	1.341
8.761	1.347
8.790	1.347
8.818	1.353
8.846	1.371
8.874	1.371
8.903	1.377
8.931	1.394
8.959	1.394
8.987	1.401
9.016	1.418
9.044	1.418
9.072	1.424
9.100	1.442
9.129	1.448
9.157	1.465
9.185	1.466
9.213	1.489
9.242	1.512
9.270	1.513
9.298	1.536
9.326	1.537
9.355	1.560
9.383	1.571
9.976	1.878
10.004	1.891
10.033	1.915
10.061	1.937
10.089	1.938
10.117	1.961
10.146	1.961
10.174	1.962
10.202	1.985
10.230	1.985
10.259	2.008
10.287	2.008
10.315	2.009
10.343	2.029
10.372	2.033
10.400	2.055
10.428	2.056
10.456	2.079
10.485	2.079
10.513	2.080
10.541	2.103
10.569	2.103
10.598	2.122
11.219	2.504
11.247	2.505
11.276	2.528
11.304	2.547
11.332	2.552
11.360	2.571
11.389	2.575
11.417	2.595
11.445	2.599
11.473	2.618
11.502	2.623
11.530	2.642
11.558	2.646
11.586	2.670
11.615	2.689
11.643	2.694
11.671	2.717
11.700	2.741
11.728	2.759
11.756	2.765
11.784	2.788
11.813	2.812
11.841	2.823
12.434	3.171
12.462	3.184
12.491	3.190
12.519	3.208
12.547	3.213
12.575	3.237
12.604	3.252
12.632	3.260
12.660	3.278
12.688	3.302
12.717	3.325
12.745	3.349
12.773	3.355
12.801	3.375
12.830	3.398
12.858	3.422
12.886	3.446
12.914	3.469
12.943	3.490
12.971	3.497
12.999	3.517
13.027	3.540
13.056	3.564
13.084	3.574
13.677	3.909
13.705	3.922
13.734	3.942
13.762	3.963
13.790	3.969
13.818	3.988
13.847	4.009
13.875	4.016
13.903	4.036
13.931	4.060
13.960	4.081
13.988	4.087
14.016	4.105
14.044	4.128
14.073	4.134
14.101	4.154
14.129	4.178
14.157	4.199
14.186	4.205
14.214	4.225
14.242	4.249
14.270	4.272
14.299	4.295
14.327	4.287
14.920	4.724
14.948	4.725
14.977	4.741
15.005	4.765
15.033	4.788
15.062	4.811
15.090	4.819
15.118	4.836
15.146	4.859
15.175	4.883
15.203	4.905
15.231	4.914
15.259	4.930
15.288	4.954
15.316	4.976
15.344	4.984
15.372	5.001
15.401	5.024
15.429	5.048
15.457	5.072
15.485	5.094
15.514	5.103
15.542	5.118
16.135	5.562
16.163	5.576
16.192	5.592
16.220	5.616
16.248	5.639
16.276	5.647
16.305	5.663
16.333	5.687
16.361	5.710
16.389	5.734
16.418	5.758
16.446	5.781
16.474	5.805
16.502	5.828
16.531	5.852
16.559	5.859
16.587	5.876
16.615	5.899
16.644	5.923
16.672	5.947
16.700	5.970
16.728	5.994
16.757	6.017
16.785	6.030
17.124	6.449
17.152	6.491
17.180	6.514
17.209	6.559
17.237	6.585
17.265	6.608
17.293	6.586
17.858	7.087
17.887	7.087
17.915	7.102
17.943	7.126
17.971	7.131
